Metadata_Plate,negcon,poscon,trt
110000296366,32,32,320
110000296367,32,32,320
110000296368,32,32,320
110000296369,32,32,320
110000296370,32,32,320
110000296371,32,32,319
110000296372,32,32,320
110000296373,32,32,320
110000296375,32,32,320
110000296376,32,32,320
110000296377,32,32,320
110000296378,32,32,320
110000296379,32,32,320
110000296380,32,32,320
110000296381,32,32,320
110000296382,32,32,320
110000296383,32,32,320
110000296384,32,32,320
110000296385,32,32,320
110000296386,32,32,320
110000296387,64,11,309
110000296389,384,0,0
110000296682,64,11,309
110000296683,32,32,320
110000296684,32,32,320
110000296685,32,32,320
110000296686,32,32,320
110000296687,32,32,315
110000296688,32,32,318
110000296689,32,32,316
110000296690,32,32,318
110000296691,32,32,320
110000297099,32,32,320
110000297100,32,32,306
110000297101,32,32,298
110000297102,32,32,281
110000297103,32,32,302
110000297105,32,32,304
110000297106,32,32,214
110000297107,32,32,210
110000297108,32,32,206
110000297109,32,32,193
110000297110,32,32,320
110000297111,32,32,320
110000297112,32,32,320
110000297113,32,32,320
110000297114,32,32,320
110000297115,32,32,320
110000297116,66,11,307
110000297118,384,0,0
110000297120,384,0,0
110000297122,66,11,307
110000297123,32,32,314
110000297124,32,32,313
110000297125,32,32,317
110000297126,32,32,317
110000297127,32,32,320
110000297128,32,32,319
110000297130,32,32,315
110000297131,32,32,317
110000297132,32,32,0
110000297133,32,32,79
110000297134,32,32,159
A1166127,64,11,309
A1166128,384,0,0
A1166130,32,33,217
A1166131,32,32,244
A1166132,32,32,188
A1166133,32,32,200
A1166134,32,32,206
A1166135,32,32,206
A1166136,32,34,213
A1166137,32,32,171
A1166138,32,32,320
A1166139,32,32,320
A1166140,32,32,320
A1166141,32,32,320
A1166142,32,32,320
A1166143,32,32,320
A1166144,32,32,320
A1166145,32,32,320
A1166146,32,32,320
A1166147,32,32,160
A1166150,32,32,320
A1166151,32,32,320
A1166152,32,32,320
A1166153,32,32,320
A1166154,32,32,320
A1166155,32,32,320
A1166156,32,32,320
A1166157,32,32,320
A1166158,32,32,320
A1166159,32,32,320
A1166160,32,32,320
A1166161,32,32,320
A1166162,32,32,320
A1166163,32,32,320
A1166164,32,32,320
A1166165,32,32,320
A1166166,32,32,320
A1166167,32,32,320
A1166168,32,32,320
A1166169,32,32,320
A1166170,32,32,320
A1166171,32,32,320
A1166172,32,32,320
A1166173,32,32,320
A1166174,32,32,320
A1166175,32,32,320
A1166176,32,32,320
A1166177,32,32,320
A1166179,64,11,309
A1166180,384,0,0
A1170384,64,11,309
A1170385,32,32,320
A1170386,32,32,320
A1170387,32,32,320
A1170388,32,32,320
A1170389,32,32,320
A1170390,32,32,320
A1170391,32,32,320
A1170392,32,32,320
A1170393,32,32,319
A1170394,32,32,320
A1170395,32,32,319
A1170396,32,32,320
A1170397,32,32,320
A1170398,32,32,320
A1170399,32,32,319
A1170400,32,32,320
A1170401,32,32,320
A1170402,32,32,320
A1170403,32,32,320
A1170404,32,32,320
A1170405,32,32,320
A1170406,32,32,320
A1170407,32,32,320
A1170408,32,32,320
A1170409,32,32,320
A1170410,32,32,320
A1170411,32,32,320
A1170412,32,32,320
A1170413,32,32,320
A1170414,32,32,320
A1170415,32,32,320
A1170416,32,32,320
