,Metadata_Plate,negcon,poscon,trt
373,110000296305,32,32,320
374,110000296306,32,32,318
375,110000296307,32,32,320
376,110000296308,32,32,319
377,110000296309,32,32,55
378,110000296310,32,32,0
379,110000296311,65,11,308
380,110000296319,384,0,0
381,110000296322,32,32,192
382,110000296323,32,32,320
383,110000296324,32,32,320
384,110000296325,32,32,192
385,110000296326,32,32,320
386,110000296327,32,32,320
387,110000296328,32,32,320
388,110000296329,32,32,320
389,110000296330,32,32,319
390,110000296331,32,32,320
391,110000296332,32,32,318
392,110000296333,32,32,318
393,110000296337,384,0,0
394,110000296339,64,11,309
395,110000296340,32,32,320
396,110000296341,32,32,320
397,110000296342,32,32,319
398,110000296343,32,32,320
399,110000296344,32,32,320
400,110000296345,32,32,320
401,110000296346,32,32,319
402,110000296347,32,32,320
403,110000296350,32,32,319
404,110000296351,32,32,319
405,110000296352,32,32,320
406,110000296353,32,32,320
407,110000296354,32,32,319
408,110000296355,32,32,319
409,110000296356,64,11,309
410,110000296358,384,0,0
411,110000296361,64,11,309
412,110000296366,32,32,320
413,110000296367,32,32,320
414,110000296368,32,32,320
415,110000296369,32,32,320
416,110000296370,32,32,320
417,110000296371,32,32,319
418,110000296372,32,32,320
419,110000296373,32,32,320
420,110000296375,32,32,320
421,110000296376,32,32,320
422,110000296377,32,32,320
423,110000296378,32,32,320
424,110000296379,32,32,320
425,110000296380,32,32,320
426,110000296381,32,32,320
427,110000296382,32,32,320
428,110000296383,32,32,320
429,110000296384,32,32,320
430,110000296385,32,32,320
431,110000296386,32,32,320
432,110000296387,64,11,309
433,110000296389,384,0,0
434,110000296682,64,11,309
435,110000296683,32,32,320
436,110000296684,32,32,320
437,110000296685,32,32,320
438,110000296686,32,32,320
439,110000296687,32,32,315
440,110000296688,32,32,318
441,110000296689,32,32,316
442,110000296690,32,32,318
443,110000296691,32,32,320
444,110000297099,32,32,320
445,110000297100,32,32,306
446,110000297101,32,32,298
447,110000297102,32,32,281
448,110000297103,32,32,302
449,110000297105,32,32,304
450,110000297106,32,32,214
451,110000297107,32,32,210
452,110000297108,32,32,206
453,110000297109,32,32,193
454,110000297110,32,32,320
455,110000297111,32,32,320
456,110000297112,32,32,320
457,110000297113,32,32,320
458,110000297114,32,32,320
459,110000297115,32,32,320
460,110000297116,66,11,307
461,110000297118,384,0,0
462,110000297120,384,0,0
463,110000297122,66,11,307
464,110000297123,32,32,314
465,110000297124,32,32,313
466,110000297125,32,32,317
467,110000297126,32,32,317
468,110000297127,32,32,320
469,110000297128,32,32,319
470,110000297130,32,32,315
471,110000297131,32,32,317
472,110000297132,32,32,0
473,110000297133,32,32,79
474,110000297134,32,32,159
475,A1166127,64,11,309
476,A1166128,384,0,0
477,A1166130,32,33,217
478,A1166131,32,32,244
479,A1166132,32,32,188
480,A1166133,32,32,200
481,A1166134,32,32,206
482,A1166135,32,32,206
483,A1166136,32,34,213
484,A1166137,32,32,171
485,A1166138,32,32,320
486,A1166139,32,32,320
487,A1166140,32,32,320
488,A1166141,32,32,320
489,A1166142,32,32,320
490,A1166143,32,32,320
491,A1166144,32,32,320
492,A1166145,32,32,320
493,A1166146,32,32,320
494,A1166147,32,32,160
495,A1166150,32,32,320
496,A1166151,32,32,320
497,A1166152,32,32,320
498,A1166153,32,32,320
499,A1166154,32,32,320
500,A1166155,32,32,320
501,A1166156,32,32,320
502,A1166157,32,32,320
503,A1166158,32,32,320
504,A1166159,32,32,320
505,A1166160,32,32,320
506,A1166161,32,32,320
507,A1166162,32,32,320
508,A1166163,32,32,320
509,A1166164,32,32,320
510,A1166165,32,32,320
511,A1166166,32,32,320
512,A1166167,32,32,320
513,A1166168,32,32,320
514,A1166169,32,32,320
515,A1166170,32,32,320
516,A1166171,32,32,320
517,A1166172,32,32,320
518,A1166173,32,32,320
519,A1166174,32,32,320
520,A1166175,32,32,320
521,A1166176,32,32,320
522,A1166177,32,32,320
523,A1166179,64,11,309
524,A1166180,384,0,0
525,A1170384,64,11,309
526,A1170385,32,32,320
527,A1170386,32,32,320
528,A1170387,32,32,320
529,A1170388,32,32,320
530,A1170389,32,32,320
531,A1170390,32,32,320
532,A1170391,32,32,320
533,A1170392,32,32,320
534,A1170393,32,32,319
535,A1170394,32,32,320
536,A1170395,32,32,319
537,A1170396,32,32,320
538,A1170397,32,32,320
539,A1170398,32,32,320
540,A1170399,32,32,319
541,A1170400,32,32,320
542,A1170401,32,32,320
543,A1170402,32,32,320
544,A1170403,32,32,320
545,A1170404,32,32,320
546,A1170405,32,32,320
547,A1170406,32,32,320
548,A1170407,32,32,320
549,A1170408,32,32,320
550,A1170409,32,32,320
551,A1170410,32,32,320
552,A1170411,32,32,320
553,A1170412,32,32,320
554,A1170413,32,32,320
555,A1170414,32,32,320
556,A1170415,32,32,320
557,A1170416,32,32,320
558,A1170417,32,32,320
559,A1170418,32,32,320
560,A1170419,32,32,320
561,A1170420,32,32,320
562,A1170421,32,32,55
563,A1170423,32,32,320
564,A1170424,32,32,320
565,A1170425,32,32,318
566,A1170427,32,32,316
567,A1170428,32,32,314
568,A1170429,32,32,306
569,A1170430,32,32,67
570,A1170431,32,32,306
571,A1170432,32,32,304
572,A1170433,384,0,0
573,A1170437,32,32,318
574,A1170438,32,32,320
575,A1170439,32,32,320
576,A1170440,32,32,319
577,A1170441,32,32,315
578,A1170442,32,32,317
579,A1170443,32,32,319
580,A1170444,32,32,317
581,A1170445,32,32,315
582,A1170446,32,32,316
583,A1170447,32,32,316
584,A1170448,32,32,319
585,A1170449,32,32,318
586,A1170450,32,32,315
587,A1170451,32,32,313
588,A1170452,32,32,319
589,A1170453,32,32,311
590,A1170454,32,32,312
591,A1170455,32,32,314
592,A1170456,32,32,309
593,A1170457,32,32,316
594,A1170458,32,32,309
595,A1170459,32,32,316
596,A1170460,32,32,303
597,A1170461,32,32,306
598,A1170462,32,32,310
599,A1170463,32,32,313
600,A1170464,32,32,315
601,A1170465,32,32,313
602,A1170466,32,32,318
603,A1170467,32,32,312
604,A1170468,32,32,316
605,A1170469,32,32,316
606,A1170470,32,32,318
607,A1170471,32,32,319
608,A1170472,32,32,318
609,A1170473,32,32,317
610,A1170474,32,32,317
611,A1170475,32,32,313
612,A1170476,32,32,314
613,A1170477,32,32,315
614,A1170478,32,32,319
615,A1170479,32,32,319
616,A1170480,32,32,320
617,A1170481,32,32,318
618,A1170482,32,32,317
619,A1170483,32,32,318
620,A1170484,32,32,319
621,A1170485,32,32,315
622,A1170486,32,32,318
623,A1170487,32,32,319
624,A1170488,32,32,318
625,A1170490,64,11,309
626,A1170491,384,0,0
627,A1170493,32,32,316
628,A1170494,32,32,319
629,A1170495,32,32,317
630,A1170496,32,32,317
631,A1170497,32,32,320
632,A1170498,32,32,320
633,A1170499,32,32,319
634,A1170500,32,32,317
635,A1170501,32,32,316
636,A1170502,32,32,317
637,A1170503,32,32,320
638,A1170504,32,32,320
639,A1170505,32,32,317
640,A1170506,32,32,315
641,A1170507,32,32,319
642,A1170508,32,32,320
643,A1170509,32,32,319
644,A1170510,32,32,159
645,A1170511,32,32,79
646,A1170513,32,32,296
647,A1170514,32,32,281
648,A1170515,32,32,292
649,A1170516,32,32,298
650,A1170517,32,32,302
651,A1170518,32,32,297
652,A1170519,32,32,302
653,A1170520,32,32,296
654,A1170521,32,32,302
655,A1170522,32,32,279
656,A1170523,32,32,298
657,A1170524,32,32,306
658,A1170525,32,32,304
659,A1170526,32,32,304
660,A1170527,32,32,310
661,A1170528,32,32,296
662,A1170529,32,32,212
663,A1170530,32,32,253
664,A1170531,32,32,244
665,A1170532,32,33,211
666,A1170533,32,32,238
667,A1170534,32,32,236
668,A1170535,32,33,249
669,A1170536,32,32,203
670,A1170537,32,32,223
671,A1170538,32,32,224
672,A1170539,32,32,217
673,A1170540,32,32,206
674,A1170541,32,32,261
675,A1170542,32,32,252
676,A1170543,32,32,198
677,A1170544,32,32,200
678,ACPJUM012,64,11,309
679,ACPJUM032,64,11,307
680,ACPJUM051,64,11,309
681,ACPJUM052,64,11,309
682,ACPJUM061,64,11,309
683,ACPJUM062,64,11,309
684,ACPJUM071,64,11,309
685,ACPJUM072,64,11,309
686,ACPJUM081,64,11,309
687,ACPJUM082,64,11,309
688,ACPJUM091,64,11,309
689,ACPJUM102,64,11,309
690,ACPJUM111,64,11,309
691,ACPJUM112,64,11,309
692,ACPJUM121,64,11,309
693,ACPJUM141,64,11,309
694,ACPJUM142,64,11,309
695,ACPJUM151,64,11,309
696,ACPJUM161,64,11,309
697,ACPJUM162,64,11,309
698,ACPJUM181,64,11,309
699,ACPJUM182,64,11,309
700,ACPJUM191,64,11,309
701,ACPJUM192,64,11,309
702,AEOJUM201,32,32,320
703,AEOJUM202,32,32,320
704,AEOJUM203,32,32,320
705,AEOJUM204,32,32,320
706,AEOJUM205,32,32,320
707,AEOJUM301,32,32,320
708,AEOJUM303,32,32,320
709,AEOJUM304,32,32,320
710,AEOJUM305,32,32,320
711,AEOJUM306,32,32,320
712,AEOJUM307,32,32,80
713,AEOJUM401,32,32,320
714,AEOJUM402,32,32,320
715,AEOJUM403,32,32,320
716,AEOJUM404,32,32,320
717,AEOJUM405,32,32,320
718,AEOJUM406,32,32,320
719,AEOJUM407,32,32,80
720,AEOJUM501,32,32,320
721,AEOJUM502,32,32,320
722,AEOJUM504,32,32,320
723,AEOJUM505,32,32,320
724,AEOJUM604,32,32,320
725,AEOJUM605,32,32,320
726,AEOJUM701,32,32,320
727,AEOJUM702,32,32,320
728,AEOJUM703,32,32,320
729,AEOJUM706,32,32,320
730,AEOJUM707,32,32,80
731,AEOJUM803,32,32,320
732,AEOJUM806,32,32,320
